,DATEPRD,NPD_WELL_BORE_CODE,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DP_TUBING,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL
1164,2015-08-14,7078,24.0,220.68159041666667,179.99933791666663,40.682252500000004,76.65399083333334,12.128383958333336,1205.98,185405.1,1216.12
1165,2015-08-15,7078,24.0,220.77126979166667,180.097756875,40.67351291666667,75.47494125,12.103769166666664,1204.85,183252.08,1217.04
1166,2015-08-16,7078,24.0,220.92260270833333,180.33140479166667,40.591197916666665,78.24828458333333,12.03631125,1199.53,180277.33,1191.24
1167,2015-08-17,7078,24.0,221.01721916666668,180.4848558333333,40.532363333333336,78.28819875,11.970510833333336,1185.78,179634.81,1190.82
1168,2015-08-18,7078,24.0,221.0635325,180.5576064583333,40.50592604166667,76.8046425,11.956891458333333,1192.7,179522.18,1148.83
1169,2015-08-19,7078,24.0,221.05621276595744,180.55407404255317,40.50213872340426,74.65177787234045,11.962919574468085,1191.93,179478.06,1264.88
1170,2015-08-20,7078,24.0,221.1376977083333,180.718043125,40.41965458333333,76.077485625,11.877281458333336,1204.72,180887.46,1237.65
1171,2015-08-21,7078,24.0,221.18290617021282,180.84093021276595,40.34197595744681,76.1200714893617,11.804302553191487,1179.2,177614.52,1191.48
1172,2015-08-22,7078,24.0,221.17234489361698,180.88114191489362,40.291202978723405,76.30547361702128,11.744489787234045,1176.63,175818.74,1175.47
1173,2015-08-23,7078,24.0,221.116800625,180.9041252083333,40.21267541666667,76.83293166666667,11.687387083333334,1163.24,172903.01,1213.46
1174,2015-08-24,7078,24.0,220.99802250000002,180.90541125,40.09261125,77.279015625,11.551365416666664,1160.11,173584.52,1201.02
1175,2015-08-25,7078,24.0,220.885500625,180.9243945833333,39.96110604166667,77.26061104166666,11.40637125,1158.64,172798.34,1196.26
1176,2015-08-26,7078,14.275279999999999,221.38880073116604,181.6030186881378,39.78578204302823,75.91411479721589,11.231250473433798,671.06,102153.42,777.39
1177,2015-08-31,7078,17.741529999999997,268.2300763070547,199.40218248741797,68.82789381963676,61.4884863550156,39.348159157885476,447.37,77429.47,702.72
1178,2015-09-01,7078,24.0,229.7867420833333,188.516163125,41.27057895833333,79.056896875,12.484593958333333,1154.34,185768.97,1314.62
1179,2015-09-02,7078,24.0,222.25349604166664,185.17742416666667,37.076071875,79.05251020833333,8.090505208333333,1192.8,183061.48,1323.05
1180,2015-09-03,7078,24.0,223.318559375,184.074506875,39.2440525,78.594325625,9.258010833333334,1098.55,173629.79,1270.7
1181,2015-09-04,7078,24.0,231.2722202083333,188.51680979166667,42.755410416666656,75.60912145833333,13.387820208333334,955.69,148269.3,1191.87
1182,2015-09-05,7078,24.0,220.366140625,182.7859175,37.580223125,77.823836875,8.874440208333333,1079.01,163219.28,1299.37
1183,2015-09-06,7078,24.0,219.9989752083333,182.54276645833332,37.45620875,78.17206604166667,8.753334583333332,1043.55,156646.96,1184.84
1184,2015-09-07,7078,24.0,219.721878125,182.311363125,37.410515000000004,78.43193416666666,8.722646041666666,1036.29,155171.95,1240.34
1185,2015-09-08,7078,24.0,219.53116416666663,182.15319499999998,37.37796916666667,78.57571854166666,8.689622291666666,1027.85,154101.3,1260.82
1186,2015-09-09,7078,24.0,219.58383416666663,182.11714666666663,37.4666875,78.565465625,8.785945833333333,1028.02,153648.93,1263.17
1187,2015-09-10,7078,24.0,219.72515375,182.09071916666667,37.63443458333333,77.48727229166667,8.957761458333334,1024.19,153098.51,1290.16
1188,2015-09-11,7078,24.0,219.8243408333333,182.19867104166667,37.62566979166667,76.362151875,8.929849791666667,1027.57,154607.72,1289.94
1189,2015-09-12,7078,24.0,219.82929604166668,182.231026875,37.59826916666667,76.21316833333333,8.91829625,1041.37,154431.79,1278.06
1190,2015-09-13,7078,24.0,219.85677375,182.31741916666667,37.539354583333335,77.02455333333333,8.843595625,1032.61,152835.56,1279.59
1191,2015-09-14,7078,24.0,219.80399,182.289874375,37.514115625,77.395158125,8.81406125,1005.36,150815.6,1274.07
1192,2015-09-15,7078,24.0,219.68713083333333,182.2152814583333,37.471849375,78.07554208333333,8.765366875,1040.99,154254.19,1268.62
1193,2015-09-16,7078,24.0,219.60150291666667,182.14234395833333,37.45915895833333,77.828928125,8.749945416666666,1051.22,155058.71,1263.29
1194,2015-09-17,7078,24.0,219.57131854166667,182.17028354166663,37.401035,78.61614520833334,8.680497291666667,1040.85,154606.57,1272.72
1195,2015-09-18,7078,24.0,219.54569395833332,182.1602339583333,37.385459999999995,78.60762354166667,8.681604791666668,1082.77,158412.72,1185.97
1196,2015-09-19,7078,24.0,219.6152877083333,182.25365833333333,37.361629375,78.646433125,8.605308333333333,1051.51,153435.06,1163.41
1197,2015-09-20,7078,24.0,219.71341166666667,182.2935325,37.41987916666667,78.51454,8.596988958333334,1006.61,151247.56,1101.64
1198,2015-09-21,7078,24.0,219.7368395833333,182.31728375,37.41955583333333,77.79286979166666,8.548922708333333,1065.57,160596.97,1141.82
1199,2015-09-22,7078,22.72458,231.40108750130918,187.20117893804417,44.199908563264984,74.95601052044968,14.660289967365733,810.98,126742.7,876.9
1200,2015-09-23,7078,24.0,221.23079104166663,183.13648999999998,38.09430104166667,78.06974145833334,8.933426041666667,1070.19,161375.49,1229.15
1201,2015-09-24,7078,24.0,220.47962229166663,182.85282125,37.62680104166667,76.24864958333333,8.445687708333333,1069.42,161188.15,1250.03
1202,2015-09-25,7078,24.0,220.403390625,182.87669458333332,37.52669604166667,77.28998875,8.372397916666667,1067.92,162965.69,1348.53
1203,2015-09-26,7078,24.0,220.7123,183.11827041666663,37.59402958333333,78.35219208333334,8.519243333333334,1070.45,161704.07,1343.26
1204,2015-09-27,7078,24.0,220.924670625,183.28872041666668,37.63595020833333,77.88296395833333,8.551111041666667,1056.78,161682.12,1341.38
1205,2015-09-28,7078,24.0,221.073363125,183.40049125,37.672871875,76.69153854166667,8.524772708333334,1052.85,160106.5,1334.7
1206,2015-09-29,7078,24.0,221.16982382978725,183.50123234042556,37.6685914893617,75.24298021276596,8.527790425531915,1050.53,160121.28,1275.78
1207,2015-09-30,7078,24.0,220.93326617021282,183.444830212766,37.48843595744681,77.07503489361702,8.373038723404255,1088.75,165304.94,1254.05
1208,2015-10-01,7078,24.0,220.30123354166668,183.2139708333333,37.08726270833333,77.980749375,9.205931458333334,1104.83,168051.94,1294.45
1209,2015-10-02,7078,24.0,219.926853125,183.1094,36.817453125,77.99908791666667,11.124022916666664,1117.65,169726.29,1294.11
1210,2015-10-03,7078,24.0,215.98230541666663,181.3853214583333,34.59698395833333,78.175020625,8.881739999999999,1162.37,177027.11,1397.81
1211,2015-10-04,7078,24.0,215.54509851063833,181.24813765957447,34.29696085106383,78.81082680851064,8.588147872340425,1159.62,175514.08,1384.6
1212,2015-10-05,7078,24.0,215.31373382978717,181.08227638297873,34.23145744680851,77.11173638297872,8.534518085106383,1151.09,175457.05,1392.57
1213,2015-10-06,7078,24.0,215.3445627083333,181.16208333333333,34.182479375,75.01374083333333,8.494846875,1145.05,174900.53,1390.42
1214,2015-10-07,7078,24.0,215.2741452083333,181.1625027083333,34.1116425,76.01802125,8.431467291666667,1148.87,174297.18,1382.63
